sample_id,latitude,longitude,elevation_m,slope_deg,aspect_deg,depth_m,formation,mn_pct,fe_pct,sio2_pct,ore_thickness_m,is_manganese
GS00000,21.349816047538944,80.25745420811097,545.8496807556564,15.119565734880505,242.80606203997445,25.173745816904667,Gondite,14.446323442959468,15.631606364783948,42.62975636487791,1.889452952273629,0
GS00001,21.580285722563968,80.28937426375,571.2369728788187,1.9850298398778932,106.00448139148216,66.00930967280706,Quartzite,8.576718845416469,5.449597427925909,28.014644066224392,1.2244681686493208,0
GS00002,21.492797576724563,80.44181895728087,677.21732371846,20.5832477029885,190.34676415432054,6.352659543821186,Laterite,18.72415205189597,11.50705229230569,21.852211412907483,0.28453771500849373,0
GS00003,21.439463393678814,80.23600175442395,567.828867158578,26.47032233511378,302.4454175684103,26.06774243125903,Manganiferous_Formation,37.33989810958419,2.240469833060138,37.137278194738784,7.2732650193987896,1
GS00004,21.262407456176973,80.44785987392487,727.8844013642312,14.46593964903886,24.55424450738117,35.868008563268894,Gondite,1.2798170560359916,18.658449436482066,63.17179265105783,1.2984065656686488,0
GS00005,21.26239780813448,80.13525377239067,645.0215796418764,14.708142148051103,28.18701611528571,14.965729216045682,Gondite,23.49562651052276,21.93996601355048,41.521083311451484,3.7663636058723324,1
GS00006,21.22323344486728,80.41071937488346,655.9916292761168,3.0898874504720752,200.22122449791124,14.393135728855855,Gondite,20.62903603758597,19.24745302523093,30.033725757680678,0.41719510697053064,0
GS00007,21.546470458309976,80.4390190532219,630.5138922674474,7.0679302579193894,230.08144622032916,33.9889646410823,Laterite,7.853304967840321,19.945650784000456,30.807608481402557,1.774330131440695,0
GS00008,21.440446004697286,80.17272706113494,704.0993486980606,5.413635609476943,76.10868567932548,60.361737978788454,Manganiferous_Formation,35.96672381245435,9.756054813484095,43.74986404442338,1.4744331830936763,0
GS00009,21.48322903111842,80.27213861294888,704.8211921443908,16.85907190315383,268.2792456089465,67.2186383638102,Gondite,2.9008055951954255,17.73464005555187,38.683760238033834,0.16677324549711817,0
GS00010,21.20823379771832,80.16619990986545,673.453804633852,18.523943933276254,232.6548157346619,78.33880740289386,Quartzite,10.80413382068464,14.954656849289197,25.809007752560472,1.2475022522164179,0
GS00011,21.5879639408648,80.38264165159768,689.5352374135354,33.2129045949491,332.3841365650631,5.918724007337524,Granite,13.05082577151876,15.926572580444098,34.25329923952302,1.4565148835287671,0
GS00012,21.53297705632017,80.31413910722466,635.1537231055702,2.5631026497031866,60.82351266907322,17.334576091679416,Manganiferous_Formation,27.21480997719594,16.164568071336543,29.369429837804052,1.1001947336978435,0
GS00013,21.28493564427131,80.35412933868332,687.9542104836333,20.99537906042665,270.49473552888384,60.53038739073582,Manganiferous_Formation,19.607377479413955,17.861640410410597,24.75292630045905,10.80451468970439,1
GS00014,21.27272998688284,80.17859478678248,626.3485557168335,18.427448456488445,30.111512609976128,43.24789648445295,Manganiferous_Formation,17.946766355619378,10.217323245964652,42.1656417795703,6.326355440124488,1
GS00015,21.273361803941373,80.18469834482096,650.1562135513682,18.06815842775402,203.5052674264431,26.214381916993457,Gondite,21.859215563172945,7.961775943224756,50.31078192914854,8.360206794992298,1
GS00016,21.321696897183816,80.11659893020396,630.7749375443592,30.560575058398925,198.6822502196925,16.44717289977948,Schist,3.6495361534249326,14.06297732653572,37.3788653177602,0.6085428162358072,0
GS00017,21.409902572652896,80.22882701407829,617.9947022476563,7.193846474342027,139.81861607282661,22.438204131395842,Manganiferous_Formation,29.81136997580952,10.967769555498343,18.8785158941728,1.9130561173981093,1
GS00018,21.372778007456848,80.32389786453346,601.7621741594746,1.4270646019480009,304.0456131606842,34.34311602407615,Manganiferous_Formation,22.548103517526087,13.781434772320647,30.55159967412164,0.30595700139731946,0
GS00019,21.316491656079215,80.44317396559893,682.7383072701219,23.52950276719674,1.5734321229644044,14.17209756048262,Granite,14.658641424898146,19.164979592320613,27.701198092299805,0.2721499495046139,0
GS00020,21.444741157888952,80.36677097898347,741.7424138969425,12.080511244759306,187.26458468346746,77.13807647014005,Granite,11.95716696788576,5.427090172579714,46.760112123734174,0.2978429492303662,0
GS00021,21.255797544260815,80.2741585293599,731.9771380168692,0.6156470674383607,78.17527794066747,8.60707556798995,Manganiferous_Formation,35.433356403073724,9.103974666286408,25.49104872053521,3.5597520388241826,1
GS00022,21.316857859414085,80.48124804575765,562.0404264838195,8.798090255164484,267.65950288191584,78.84619475913753,Schist,18.03600001761115,10.180559053412797,40.890815709404876,4.565596774938783,1
GS00023,21.346544737317476,80.38769808023034,740.2442135984811,10.826437097588416,15.504273470194981,67.3514628800538,Gondite,19.333118955756568,21.254468943458953,55.559042844272035,0.4809395538570106,0
GS00024,21.382427993686814,80.47206608114502,627.728904886745,21.58934318744847,299.3596877453679,33.85212940109913,Granite,5.496468672186701,13.958145533238062,41.63367764632264,1.851591155776079,0
GS00025,21.514070384557208,80.31103518930887,692.0513110601914,6.040502791724523,301.7132016145025,59.185306751056814,Manganiferous_Formation,40.91767300718614,10.53686327107467,23.59552723673522,11.22238959824553,1
GS00026,21.279869512863343,80.20356170991725,586.5649267566953,14.45690217836893,299.831764465261,53.72121949571088,Granite,26.076586191920377,17.69150846223289,28.791350514141804,8.722233911640275,1
GS00027,21.405693775365446,80.12113067454588,659.9385939711804,16.886640554624137,54.92466962376115,17.062953435914476,Manganiferous_Formation,31.54051940859018,8.551618798687977,26.30716817416537,18.485455490097724,1
GS00028,21.436965827544817,80.39043394059354,671.9606228027835,16.073308697743183,226.94634668197617,27.125606889515712,Schist,5.532643447972596,14.924026116015755,21.367392825203886,1.172324685981619,0
GS00029,21.218580165088,80.14852119920221,546.0776645656243,34.08792683333736,5.172249306020258,41.04980502443663,Gondite,12.968573341371421,24.070356000560132,41.39840176107866,2.30656990096504,0
GS00030,21.443017940760576,80.22111005130878,692.5787016440933,1.5926483226603638,305.2665328641119,51.02753439101815,Gondite,9.314338417801572,23.93145161943322,9.38766285821995,1.1172332554124762,0
GS00031,21.268209649474915,80.31298836315355,744.215450548682,33.28388652583398,260.2710696631034,43.43159850852972,Manganiferous_Formation,13.105473588585191,8.715541238703585,31.478731511527016,1.6059147296635221,0
