sample_id,latitude,longitude,blue_b2,green_b3,red_b4,nir_b8,swir_b11,swir_b12,ndvi,ndwi,swir_ratio,bare_soil_index,land_surface_temperature
GS00000,21.349816047538944,80.25745420811097,0.1372046735397509,0.19665832367270453,0.12933354715495038,0.4286125229296859,0.21472951986600525,0.25605657131211185,0.5363931308561889,-0.37096536573232397,0.8385985962675117,-0.24371765673887033,35.37955335979515
GS00001,21.580285722563968,80.28937426375,0.13496785827211755,0.13961056194964397,0.14662560143061706,0.2640552790478965,0.2956442551555958,0.2884778314397927,0.2859382972544444,-0.30828570608060124,1.024838646496315,0.05140500179419946,30.88534324896409
GS00002,21.492797576724563,80.44181895728087,0.1194522720273033,0.19684775282429884,0.1816679569807994,0.3823060534358499,0.32757607088166624,0.20825579448377451,0.35575706857441175,-0.3202223284809375,1.572943018227374,0.007404231029193726,33.678704781184486
GS00003,21.439463393678814,80.23600175442395,0.12830311767095964,0.05840892102157341,0.1020711307661158,0.36585830197309244,0.16919681298771588,0.22171045936128003,0.5637315992952167,-0.7246580448128082,0.8338403183997816,-0.291200201283832,31.793472218056756
GS00004,21.262407456176973,80.44785987392487,0.12051126612229456,0.1796445609875743,0.15419886912443248,0.44353997122672056,0.27402772763194844,0.155431827457377,0.48405858631124443,-0.4234620295202882,1.762997766395858,-0.13688152555938465,31.765553046889334
GS00005,21.26239780813448,80.13525377239067,0.1062726830749455,0.10955403544908181,0.10640104375504147,0.45220096014208694,0.2694240774594966,0.2328720404900692,0.6190441404262972,-0.609956862734358,1.2314470763781282,-0.19549242005173578,38.70186842485404
GS00006,21.22323344486728,80.41071937488346,0.12298698139618272,0.14622321904882968,0.19196342063744942,0.3817523098664825,0.4034307487333716,0.19571133951938374,0.3308059171680934,-0.44609765381337974,2.0613454916746066,0.0824034528069908,26.967348543232568
GS00007,21.546470458309976,80.4390190532219,0.09887928451434047,0.12265975884935901,0.21466509360228112,0.4531359929279718,0.27811944621627444,0.1965348928429904,0.3570981644647608,-0.573945985382031,1.4151076538393927,-0.05669093730137073,33.9498209733665
GS00008,21.440446004697286,80.17272706113494,0.14698059489913534,0.14248237641328565,0.1868726943086263,0.38782789060411776,0.33920230525695794,0.2127171214062228,0.34966876996868235,-0.4626443552118242,1.594609349756297,-0.008232268508575828,29.216139281547996
GS00009,21.48322903111842,80.27213861294888,0.10772053091758813,0.14197338363275824,0.19696545644691874,0.3027449492003768,0.1909715918235022,0.29677422545464616,0.21168116548478177,-0.3615124274975973,0.6434889958585405,-0.02821684905754188,33.79105751694708
