date,equipment_id,equipment_type,capacity_tph,operating_hours,downtime_hours,utilization,maintenance
2023-01-01,EX001,Excavator,100,8.288684810279172,0.19967181665063782,0.6907237341899309,0
2023-01-02,EX001,Excavator,100,9.229955417122392,0.5372521234346269,0.769162951426866,0
2023-01-03,EX001,Excavator,100,5.9331607820693915,0.5212050129995012,0.4944300651724493,0
2023-01-04,EX001,Excavator,100,6.689045213216621,2.3464888199735325,0.5574204344347184,0
2023-01-05,EX001,Excavator,100,8.361908841423514,0.550341413387148,0.6968257367852928,0
2023-01-06,EX001,Excavator,100,8.904832606889537,11.23136150708766,0.7420693839074614,1
2023-01-07,EX001,Excavator,100,8.513506546776645,1.7044877009505648,0.7094588788980537,0
2023-01-08,EX001,Excavator,100,10.294538913259023,0.0,0.8578782427715853,0
2023-01-09,EX001,Excavator,100,8.48693780660386,0.867090417643529,0.7072448172169884,0
2023-01-10,EX001,Excavator,100,7.645337743814168,1.370312562434973,0.6371114786511807,0
2023-01-11,EX001,Excavator,100,5.78355683074272,0.0,0.48196306922855997,0
2023-01-12,EX001,Excavator,100,6.647780159111473,2.4811633569013978,0.5539816799259561,0
2023-01-13,EX001,Excavator,100,10.097084147405674,11.003873792211245,0.8414236789504729,1
2023-01-14,EX001,Excavator,100,7.083547944866592,3.2163105021181186,0.5902956620722161,0
2023-01-15,EX001,Excavator,100,6.932803269018077,2.6578590328744816,0.5777336057515065,0
2023-01-16,EX001,Excavator,100,10.346480581746698,1.4004829675482984,0.8622067151455582,0
2023-01-17,EX001,Excavator,100,4.325342701061979,2.513958641295712,0.36044522508849824,0
2023-01-18,EX001,Excavator,100,9.576229614673426,2.2669936742908847,0.7980191345561188,0
2023-01-19,EX001,Excavator,100,5.769459942240237,1.6308753047581828,0.4807883285200198,0
2023-01-20,EX001,Excavator,100,10.349155580937293,2.159184139343729,0.8624296317447744,0
2023-01-21,EX001,Excavator,100,6.418455035246314,3.7782687903907632,0.5348712529371928,0
2023-01-22,EX001,Excavator,100,7.100944690775121,0.5981141882756602,0.5917453908979268,0
2023-01-23,EX001,Excavator,100,9.255634167403763,0.9168470658758485,0.7713028472836468,0
2023-01-24,EX001,Excavator,100,8.00897135170245,1.9122136616992074,0.6674142793085375,0
2023-01-25,EX001,Excavator,100,8.34942905737033,1.665926062374485,0.6957857547808608,0
2023-01-26,EX001,Excavator,100,11.056478837158231,2.0878067569832663,0.9213732364298526,0
2023-01-27,EX001,Excavator,100,6.849602062585827,0.0,0.5708001718821523,0
2023-01-28,EX001,Excavator,100,6.030151228971085,0.812846598052821,0.5025126024142571,0
2023-01-29,EX001,Excavator,100,5.974179010847626,0.1652222382509434,0.49784825090396884,0
2023-01-30,EX001,Excavator,100,6.584475334773049,0.0,0.5487062778977541,0
2023-01-31,EX001,Excavator,100,6.643305183444832,2.381743396146428,0.5536087652870693,0
2023-02-01,EX001,Excavator,100,6.679368582844376,0.05384648779284462,0.5566140485703647,0
2023-02-02,EX001,Excavator,100,7.7699020900204125,1.119133317388587,0.6474918408350344,0
2023-02-03,EX001,Excavator,100,9.314500123433389,2.270351919762649,0.776208343619449,0
2023-02-04,EX001,Excavator,100,7.44298450411829,2.5830541594590137,0.6202487086765242,0
2023-02-05,EX001,Excavator,100,8.837953943371513,1.2180059712603086,0.7364961619476261,0
