date,planned_blasts,blasting_delay_hours,delay_reason
2023-01-01,0,0.17744779178236053,Equipment
2023-01-02,1,5.6101080607227525,Material_Availability
2023-01-03,0,0.45027112283996873,None
2023-01-04,2,2.6466051428942343,Equipment
2023-01-05,0,0.29273603477266624,Weather
2023-01-06,1,0.51683475467546,None
2023-01-07,1,1.71005467105309,None
2023-01-08,0,0.5859140464056906,Safety_Clearance
2023-01-09,1,2.338375980539155,Equipment
2023-01-10,1,1.04702821778295,None
2023-01-11,2,0.2712425140674378,None
2023-01-12,2,0.5478439242058326,None
2023-01-13,1,1.4191952649403041,None
2023-01-14,1,0.8886925684940887,Weather
2023-01-15,0,1.1719627273376152,Weather
2023-01-16,0,0.5555031737048227,None
2023-01-17,1,0.7964359759718902,None
2023-01-18,0,0.9910139687016506,None
2023-01-19,1,0.482142032116102,Equipment
2023-01-20,0,0.4340584783858511,None
2023-01-21,0,1.0432908664492864,None
2023-01-22,2,0.020485593872005166,None
2023-01-23,1,3.1160372653896706,Equipment
2023-01-24,1,0.17507461952534276,None
2023-01-25,0,0.05954163192505264,Weather
2023-01-26,0,0.5477209213917758,None
2023-01-27,2,0.7691959533094006,Weather
2023-01-28,3,0.355315582490327,Weather
2023-01-29,2,1.279055271288829,None
2023-01-30,0,0.1869589320370086,None
2023-01-31,2,0.5646161614451085,Weather
2023-02-01,1,3.983950680689103,None
2023-02-02,2,0.5934352817490104,None
2023-02-03,0,2.479718868529728,None
2023-02-04,2,1.9500325026253689,None
2023-02-05,4,0.4990971263795989,None
2023-02-06,3,0.36492665285486575,None
2023-02-07,0,0.8122642903106372,None
2023-02-08,0,4.0262827043217095,None
2023-02-09,1,0.2509500825637847,Weather
2023-02-10,3,0.5280382910631899,None
2023-02-11,1,0.10136464411178282,None
2023-02-12,1,1.4601774923287127,None
2023-02-13,0,0.20323115832522903,None
2023-02-14,2,0.6625625642763497,None
2023-02-15,1,1.5042292031115119,Weather
2023-02-16,0,1.707438734047618,Equipment
2023-02-17,2,1.1841840358864506,None
2023-02-18,1,0.17309693067072524,Safety_Clearance
2023-02-19,2,1.973167171862238,Safety_Clearance
2023-02-20,1,0.32734910158141617,Weather
2023-02-21,1,1.647707761017183,None
2023-02-22,2,2.5054554536930955,None
2023-02-23,0,0.5900008160066911,None
2023-02-24,3,0.6584029116669405,Weather
2023-02-25,2,2.5804540509248803,Material_Availability
2023-02-26,1,1.7309643385383822,None
2023-02-27,1,1.287714076092105,Equipment
2023-02-28,0,0.5487022309900547,Weather
2023-03-01,0,1.2206810214738772,Weather
2023-03-02,0,2.0681226347035704,None
2023-03-03,0,0.117992732695943,None
2023-03-04,0,1.0402110951827255,Weather
2023-03-05,2,0.2779829414399837,None
2023-03-06,3,8.744575241114228,Safety_Clearance
2023-03-07,2,0.9008272263764243,None
2023-03-08,1,0.336143332596735,None
2023-03-09,0,0.6666246587647644,Safety_Clearance
2023-03-10,4,0.10227867626824075,None
2023-03-11,3,1.18812688882132,Weather
2023-03-12,0,2.016753965366842,None
2023-03-13,1,1.9449503231184462,Weather
2023-03-14,1,3.2795949383724503,None
2023-03-15,1,1.2619453616381764,None
2023-03-16,2,1.974839615790479,Weather
2023-03-17,0,1.9627920205223603,Material_Availability
2023-03-18,2,0.2614999849525701,Material_Availability
2023-03-19,1,1.2885401909513126,None
2023-03-20,1,2.3102743553817047,Weather
2023-03-21,1,2.1659871726723368,None
2023-03-22,1,0.8856430734404828,Weather
2023-03-23,3,0.0852807257770565,Equipment
2023-03-24,0,1.2274388601912725,None
2023-03-25,3,1.4290797140911202,Weather
2023-03-26,1,1.5681366893625017,None
2023-03-27,0,2.9358254749878934,None
2023-03-28,1,2.96985845905337,None
2023-03-29,1,3.228207673976546,None
2023-03-30,0,1.6716003646269608,Material_Availability
2023-03-31,2,0.009759432385862136,Weather
2023-04-01,1,1.2380095960309878,Weather
2023-04-02,0,0.4941092077295913,Safety_Clearance
2023-04-03,0,0.8367765356088654,Safety_Clearance
